iter	Passed	Remaining
785	3922	1067
786	3927	1062
787	3928	1057
788	3933	1051
789	3938	1046
790	3943	1041
791	3945	1036
792	3950	1031
793	3955	1026
794	3959	1021
795	3964	1015
796	3968	1010
797	3973	1005
798	3978	1000
799	3980	995
800	3985	990
801	3989	985
802	3994	979
803	3999	974
804	4004	969
805	4008	964
806	4013	959
807	4018	954
808	4022	949
809	4027	944
810	4031	939
811	4036	934
812	4040	929
813	4046	924
814	4050	919
815	4055	914
816	4060	909
817	4065	904
818	4070	899
819	4074	894
820	4079	889
821	4084	884
822	4086	878
823	4091	873
824	4096	868
825	4100	863
826	4105	858
827	4111	853
828	4115	848
829	4120	843
830	4124	838
831	4129	833
832	4134	828
833	4139	823
834	4144	818
835	4148	813
836	4154	809
837	4159	804
838	4164	799
839	4169	794
840	4175	789
841	4180	784
842	4184	779
843	4190	774
844	4195	769
845	4199	764
846	4204	759
847	4209	754
848	4214	749
849	4219	744
850	4224	739
851	4228	734
852	4233	729
853	4237	724
854	4242	719
855	4247	714
856	4252	709
857	4257	704
858	4261	699
859	4266	694
860	4270	689
861	4275	684
862	4280	679
863	4284	674
864	4289	669
865	4295	664
866	4300	659
867	4305	654
868	4309	649
869	4315	644
870	4319	639
871	4324	634
872	4329	629
873	4334	624
874	4338	619
875	4343	614
876	4348	609
877	4353	604
878	4358	599
879	4362	594
880	4367	589
881	4372	584
882	4377	579
883	4381	574
884	4387	570
885	4391	565
886	4396	560
887	4401	555
888	4406	550
889	4412	545
890	4417	540
891	4422	535
892	4427	530
893	4431	525
894	4436	520
895	4440	515
896	4445	510
897	4450	505
898	4454	500
899	4459	495
900	4463	490
901	4468	485
902	4472	480
903	4477	475
904	4482	470
905	4487	465
906	4491	460
907	4496	455
908	4501	450
909	4506	445
910	4511	440
911	4515	435
912	4520	430
913	4525	425
914	4530	420
915	4535	415
916	4540	410
917	4545	406
918	4550	401
919	4555	396
920	4560	391
921	4565	386
922	4569	381
923	4574	376
924	4579	371
925	4583	366
926	4588	361
927	4592	356
928	4597	351
929	4602	346
930	4606	341
931	4611	336
932	4616	331
933	4621	326
934	4626	321
935	4631	316
936	4636	311
937	4641	306
938	4646	301
939	4650	296
940	4655	291
941	4660	286
942	4665	282
943	4670	277
944	4675	272
945	4680	267
946	4685	262
947	4690	257
948	4694	252
949	4699	247
950	4703	242
951	4708	237
952	4712	232
953	4717	227
954	4721	222
955	4726	217
956	4731	212
957	4736	207
